#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
19316	040827+1211.5	62.1108174	12.19187216	25.93	2.34	115.99	2.61	-12.97	2.24	8.818	0.029	8.171	0.042	8.046	0.027	11.28	1.327	0.004
22565	0	72.84338913	18.83994061	19.51	0.71	78.72	0.7	-34.25	0.52	4.972	0.264	4.566	0.036	4.492	0.016	5.08	0.214	0.007
22654	045225+1859.9	73.09784421	18.99699322	21.55	2.16	76.07	2.46	-31.76	1.48	8.375	0.027	7.885	0.027	7.742	0.02	10.29	1.07	0.015
19796	041434+1042.1	63.6427915	10.70140013	22.2	0.51	118.64	0.66	-7.88	0.62	6.128	0.019	5.915	0.021	5.862	0.017	7.11	0.514	0.008
22350	044842+2106.1	72.17530725	21.10110182	19.41	2.61	99.16	3.62	-31.08	2.79	7.522	0.023	7.153	0.021	7.072	0.018	9.06	0.843	0.005
21459	0	69.12111479	23.34098572	21.04	0.38	111.39	0.48	-52.44	0.34	5.205	0.037	5.062	0.015	4.985	0.02	6.01	0.384	0.015
21637	043851+2309.0	69.71343841	23.15010498	22.46	0.72	103.95	0.81	-56.07	0.58	6.454	0.021	6.198	0.016	6.162	0.023	7.51	0.576	0.009
22607	0	72.95801749	13.65519421	24.56	1.0	105.85	1.12	-17.23	0.63	5.235	0.029	5.03	0.018	4.941	0.015	6.3	0.501	0.007
19793	041431+2334.3	63.63432618	23.57506213	21.08	0.93	122.53	1.01	-48.73	0.79	6.877	0.026	6.599	0.02	6.516	0.02	8.05	0.657	0.007
21741	044006+2318.3	70.02414724	23.3046399	15.95	1.42	73.12	1.52	-40.3	0.99	7.996	0.02	7.631	0.016	7.565	0.02	9.4	0.811	0.0
22044	0	71.10737309	11.14616946	21.82	0.3	98.77	0.42	-15.51	0.31	4.962	0.248	4.732	0.027	4.733	0.02	5.39	0.25	0.001
22850	0	73.743011	19.48545705	15.54	0.49	62.88	0.52	-28.76	0.36	5.736	0.026	5.658	0.017	5.623	0.018	6.36	0.292	0.012
18327	035506+1659.9	58.7767141	16.99853738	23.86	1.19	148.4	1.35	-24.86	0.97	7.413	0.02	7.038	0.027	6.91	0.021	8.99	0.895	0.001
19591	041156+2338.2	62.98389192	23.63645965	26.22	1.73	137.71	1.92	-56.36	1.41	7.148	0.03	6.563	0.016	6.409	0.024	9.38	1.09	0.015
20491	042330+2424.3	65.87642011	24.40551165	19.64	0.6	93.62	0.79	-44.54	0.62	6.285	0.021	6.141	0.016	6.092	0.016	7.18	0.462	0.009
21788	044049+2348.6	70.20428379	23.80974221	18.08	1.27	60.95	1.55	-50.42	0.88	7.601	0.024	7.3	0.023	7.231	0.024	8.84	0.688	0.001
18170	0	58.29149333	17.32715593	24.2	0.37	143.76	0.45	-29.75	0.39	5.254	0.026	5.161	0.042	5.091	0.018	5.97	0.354	0.017
